VehicleID,ActivityDateTimeEST,UniqueVIN ,Last_Event,Last_EventTime,Latitude_Last,Last_Longitude,Last_Vendor,Reactvation_Event,Reactivatiopn_EventTime,Reactvation_Latitude,Reactivation_Longitude,Reactivation vendor,Final_check,Inactivity(hours),Inactivity(days)
E864D898-70DC-4D87-88B4-8CBF7A37CD68,2018-09-24,1FDEE3FL2FDA25019,4,2018-09-24 17:28:04,40.8258465,-73.84469229999998,NYC DOE - GVC,1.0,2018-09-24 06:04:54,40.8146716,-73.846558,NYC DOE - GVC,0,61.38305555555556,3.0
E864D898-70DC-4D87-88B4-8CBF7A37CD68,2018-09-17,1FDEE3FL2FDA25019,4,2018-09-17 16:36:53,40.8265131,-73.84414759999999,NYC DOE - GVC,1.0,2018-09-17 06:05:45,40.8147218,-73.8466533,NYC DOE - GVC,0,60.570277777777775,3.0
EAD259CE-56ED-42EE-B4EB-7E9504764BC6,2018-09-28,4DRAPAFK38A633057,177,2018-09-28 06:54:25,40.61284910000001,-73.9030538,NYC DOE - ALL AMERICAN,1.0,2018-09-28 06:47:21,40.61263510000001,-73.90309029999997,NYC DOE - ALL AMERICAN,0,164.88472222222222,7.0
EAD259CE-56ED-42EE-B4EB-7E9504764BC6,2018-09-30,4DRAPAFK38A633057,177,2018-09-28 06:54:25,40.61284910000001,-73.9025911,NYC DOE - ALL AMERICAN,,,,,,1,65.09277777777778,3.0
ECC6DD72-420B-41F9-B214-3DB6AC42BB0F,2018-09-30,1GB6G5BG9D1187739,176,2018-09-07 08:17:04,40.7283988,-73.89818829999999,NYC DOE - RELIANT/MV,,,,,,1,567.7152777777778,24.0
F1F5A38D-378E-431B-9AF3-5016D8AC1D8B,2018-09-24,1GBHG31C181223778,106,2018-09-24 16:36:19,40.8231735,-73.84314309999998,NYC DOE - PIONEER,3.0,2018-09-24 05:29:49,40.8230213,-73.84331230000002,NYC DOE - PIONEER,0,60.67666666666667,3.0
F1F5A38D-378E-431B-9AF3-5016D8AC1D8B,2018-09-30,1GBHG31C181223778,177,2018-09-28 17:40:45,40.8881566,-73.7692818,NYC DOE - PIONEER,,,,,,1,54.32055555555556,2.0
F6B4039E-A180-448E-A6D2-5C17FE167FF8,2018-09-16,4DRBUAAN36A164032,84,2018-09-16 16:31:20,40.8227413,-73.84404980000002,NYC DOE - PIONEER,84.0,2018-09-16 16:31:20,40.8227413,-73.84404980000002,NYC DOE - PIONEER,0,48.00333333333333,2.0
F6B4039E-A180-448E-A6D2-5C17FE167FF8,2018-09-30,4DRBUAAN36A164032,176,2018-09-28 16:46:07,40.8696396666667,-73.84215079999998,NYC DOE - PIONEER,,,,,,1,55.23111111111111,2.0
F8726F94-49A5-4936-9DB0-7CDF78B925F6,2018-09-24,1GBJG312271169852,4,2018-09-24 23:07:21,40.6554561,-73.8916468,NYC DOE - LEESEL SELBY BUS,3.0,2018-09-24 04:15:34,40.6542488,-73.8924823,NYC DOE - LEESEL SELBY BUS,0,57.91305555555556,2.0
F8726F94-49A5-4936-9DB0-7CDF78B925F6,2018-09-17,1GBJG312271169852,4,2018-09-17 17:02:08,40.7765423,-73.871012,NYC DOE - LEESEL SELBY BUS,3.0,2018-09-17 04:09:12,40.6013736,-73.9916183,NYC DOE - LEESEL SELBY BUS,0,53.605555555555554,2.0
